epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,31.538,0.84371,1.93026,1.32188,0.77843,0.39235,0.42029,0.28168,1.82663,2.45137,1.65255,2.82082e-05,2.82082e-05,2.82082e-05
40,32.3079,0.97577,1.25747,1.44241,0.77843,0.39235,0.42029,0.28168,1.82663,2.45137,1.65255,2.84911e-05,2.84911e-05,2.84911e-05
41,33.109,0.72495,1.24483,1.10916,0.78139,0.38959,0.4174,0.28986,1.83475,2.47025,1.64689,2.87504e-05,2.87504e-05,2.87504e-05
42,33.9077,0.93259,1.26782,1.34713,0.78139,0.38959,0.4174,0.28986,1.83475,2.47025,1.64689,2.89861e-05,2.89861e-05,2.89861e-05
43,34.7088,0.54438,2.46662,1.13162,0.94776,0.39131,0.41617,0.28938,1.76418,2.42303,1.57326,2.91983e-05,2.91983e-05,2.91983e-05
44,35.4841,0.84803,1.14464,1.25418,0.94776,0.39131,0.41617,0.28938,1.76418,2.42303,1.57326,2.93869e-05,2.93869e-05,2.93869e-05
45,36.2871,0.60415,1.15706,1.10837,0.95011,0.39017,0.41628,0.28991,1.74139,2.41991,1.53627,2.9552e-05,2.9552e-05,2.9552e-05
46,37.0542,0.80995,1.14472,1.28527,0.95011,0.39017,0.41628,0.28991,1.74139,2.41991,1.53627,2.96935e-05,2.96935e-05,2.96935e-05
47,37.8447,0.73657,0.90751,1.13602,0.95341,0.38818,0.4214,0.32347,1.76841,2.51194,1.59021,2.98114e-05,2.98114e-05,2.98114e-05
48,38.6298,0.66821,0.95862,1.10308,0.95341,0.38818,0.4214,0.32347,1.76841,2.51194,1.59021,2.99058e-05,2.99058e-05,2.99058e-05
49,39.4321,0.89579,0.89985,1.20776,0.94845,0.38315,0.41783,0.32201,1.77634,2.491,1.59549,2.99766e-05,2.99766e-05,2.99766e-05
50,40.2019,0.82829,0.85406,1.18714,0.94845,0.38315,0.41783,0.32201,1.77634,2.491,1.59549,3.00238e-05,3.00238e-05,3.00238e-05
51,41.0061,0.75414,0.86456,1.17574,0.95077,0.38825,0.42338,0.32635,1.69999,2.31895,1.45556,3.00475e-05,3.00475e-05,3.00475e-05
52,41.8194,0.76868,1.10746,1.14514,0.95077,0.38825,0.42338,0.32635,1.69999,2.31895,1.45556,3.00476e-05,3.00476e-05,3.00476e-05
53,42.6277,0.62738,0.87009,1.13427,0.95077,0.38825,0.42338,0.32635,1.69999,2.31895,1.45556,3.00242e-05,3.00242e-05,3.00242e-05
54,43.5023,0.83606,1.37453,1.25052,0.94874,0.3879,0.4241,0.31001,1.7066,2.30868,1.45766,2.99772e-05,2.99772e-05,2.99772e-05
55,44.3228,0.79744,0.80207,1.1146,0.94874,0.3879,0.4241,0.31001,1.7066,2.30868,1.45766,2.99066e-05,2.99066e-05,2.99066e-05
56,45.1581,0.74528,1.15919,1.1162,0.94874,0.3879,0.4241,0.31001,1.7066,2.30868,1.45766,2.98125e-05,2.98125e-05,2.98125e-05
57,46.0049,0.61777,0.7847,1.06471,0.94927,0.38731,0.42355,0.31018,1.73173,2.42608,1.49401,2.96948e-05,2.96948e-05,2.96948e-05
58,46.7978,0.71505,0.73749,1.16801,0.94927,0.38731,0.42355,0.31018,1.73173,2.42608,1.49401,2.95535e-05,2.95535e-05,2.95535e-05
59,47.578,0.80644,0.91342,1.20889,0.94927,0.38731,0.42355,0.31018,1.73173,2.42608,1.49401,2.93887e-05,2.93887e-05,2.93887e-05
60,48.39,0.94734,1.38542,1.35645,0.9636,0.37968,0.42124,0.30851,1.73598,2.47929,1.50918,2.92003e-05,2.92003e-05,2.92003e-05
